Word,Total occurrences,Sentences containing the word,Documents
guarantee,2,"•  And so the question is not whether there is some magic formula for success, or guarantee against failure, in Iraq

•  That in a global economy that's more connected and more competitive - we are the party that will guarantee every American an affordable, world-class, top-notch, life-long education - from early childhood to high school, from college to on-the-job training","• doc3.txt

• doc5.txt"
interested,2,"• What is absolutely clear is that it is not enough for the President to respond to Iraq’s reality by saying that he is “open to” or “interested in” new ideas while acting as if all that’s required is doing more of the same

•  A seat had opened up, and some friends asked me if I'd be interested in running","• doc3.txt

• doc5.txt"
hard-earned,2,"•  Let's protect the hard-earned benefits their companies have promised

•  They have spent hundreds of billions of their hard-earned dollars on this effort ? money that could have been devoted to strengthening our homeland security and our competitive standing as a nation","• doc1.txt

• doc5.txt"
strengthening,2,"•  Each of us, in our own lives, will have to accept responsibility - for instilling an ethic of achievement in our children, for adapting to a more competitive economy, for strengthening our communities, and sharing some measure of sacrifice

•  They have spent hundreds of billions of their hard-earned dollars on this effort ? money that could have been devoted to strengthening our homeland security and our competitive standing as a nation","• doc1.txt

• doc5.txt"
crossfire,2,"• But for all the progress that has been made, we must surely acknowledge that neither Kenya nor the African continent have yet fulfilled their potential - that the hopefulness of the post-colonial era has been replaced by cynicism and sometimes despair, and that true freedom has not yet been won for those struggling to live on less than a few shillings a day, for those who have fallen prey to HIV/AIDS or malaria, to those ordinary citizens who continue to find themselves trapped in the crossfire of war or ethnic conflict

•  Moreover, without a coherent strategy or better cooperation from the Iraqis, we would only be putting more of our soldiers in the crossfire of a civil war","• doc4.txt

• doc5.txt"
insurgents,2,"•  personnel in training and advisory roles can guard against militia infiltration of Iraqi units; develop the trust and goodwill of Iraqi soldiers and the local populace; and lead to better intelligence while undercutting grassroots support for the insurgents

•  They have battled insurgents, secured cities, and maintained some semblance of order in Iraq",• doc5.txt
responsibilities,2,"• It's a promise that says the market should reward drive and innovation and generate growth, but that businesses should live up to their responsibilities to create American jobs, look out for American workers, and play by the rules of the road

•  But even as they have carried out their responsibilities with excellence and valor, they have also told me that there is no military solution to this war","• doc2.txt

• doc5.txt"
substantial,2,"•  commanders think such a force would be effective; if there is substantial movement towards a political solution among Iraqi factions; if the Iraqi government showed a serious commitment to disbanding the militias; and if the Iraqi government asked us ? in a public and unambiguous way ? for such continued support

•  The President should announce to the Iraqi people that our policy will include a gradual and substantial reduction in U",• doc5.txt
compromise,2,"•  We cannot compromise the safety of our troops, and we should be willing to adjust to realities on the ground

• It was here we learned to disagree without being disagreeable - that it's possible to compromise so long as you know those principles that can never be compromised; and that so long as we're willing to listen to each other, we can assume the best in people instead of the worst","• doc1.txt

• doc5.txt"
suspended,2,"•  The redeployment could be temporarily suspended if the parties in Iraq reach an effective political arrangement that stabilizes the situation and they offer us a clear and compelling rationale for maintaining certain troop levels

•  Moreover, it could be suspended if at any point U",• doc5.txt
rationale,2,"•  The redeployment could be temporarily suspended if the parties in Iraq reach an effective political arrangement that stabilizes the situation and they offer us a clear and compelling rationale for maintaining certain troop levels

•  But I have long believed it has also been a failure of conception ? that the rationale behind the war itself was misguided",• doc5.txt
infrastructure,2,"•  troops remaining in Iraq should be dedicated to the critical, but less visible roles, of protecting logistics supply points, critical infrastructure, and American enclaves like the Green Zone, as well as acting as a rapid reaction force to respond to emergencies and go after terrorists

• It is painfully obvious that corruption stifles development - it siphons off scarce resources that could improve infrastructure, bolster education systems, and strengthen public health","• doc4.txt

• doc5.txt"
significantly,2,"•  Willingness to report corruption is increasingly significantly in Kenya

• In such a scenario, it is conceivable that a significantly reduced U","• doc4.txt

• doc5.txt"
personnel,2,"• The second part of our strategy should be to couple this phased redeployment with a more effective plan that puts the Iraqi security forces in the lead, intensifies and focuses our efforts to train those forces, and expands the numbers of our personnel ? especially special forces ? who are deployed with Iraqi as units advisers

•  personnel in training and advisory roles can guard against militia infiltration of Iraqi units; develop the trust and goodwill of Iraqi soldiers and the local populace; and lead to better intelligence while undercutting grassroots support for the insurgents",• doc5.txt
ill-conceived,2,"• For the last six years we've been told that our mounting debts don't matter, we've been told that the anxiety Americans feel about rising health care costs and stagnant wages are an illusion, we've been told that climate change is a hoax, and that tough talk and an ill-conceived war can replace diplomacy, and strategy, and foresight

•  Today, the Iraqi landscape is littered with ill-conceived, half-finished projects that have done almost nothing to help the Iraqi people or stabilize the country","• doc1.txt

• doc5.txt"
stabilize,2,"• We need to continue to provide some basic reconstruction funding that will be used to put Iraqis to work and help our troops stabilize key areas

•  Today, the Iraqi landscape is littered with ill-conceived, half-finished projects that have done almost nothing to help the Iraqi people or stabilize the country",• doc5.txt
authority,2,"•  By focusing on building strong, independent institutions - like an anti-corruption commission with real authority - rather than cults of personality, they make a contribution to their country that will last longer than their own lives

• This must end in the next session of Congress, when we reassert our authority to oversee the management of this war","• doc4.txt

• doc5.txt"
supported,2,"• This includes opening dialogue with both Syria and Iran, an idea supported by both James Baker and Robert Gates

• Many who supported the original decision to go to war in Iraq have argued that it has been a failure of implementation",• doc5.txt
ambitions,2,"• What's worse - corruption can also provide opportunities for those who would harness the fear and hatred of others to their agenda and ambitions

•  We know these countries want us to fail, and we should remain steadfast in our opposition to their support of terrorism and Iran’s nuclear ambitions","• doc4.txt

• doc5.txt"
movements,2,"•  In the past, it has been movements for freedom from within tyrannical regimes that have led to flourishing democracies; movements that continue today",• doc5.txt
prevention,2,"•  We can control costs by focusing on prevention, by providing better treatment to the chronically ill, and using technology to cut the bureaucracy

• The final lesson is that in an interconnected world, the defeat of international terrorism ? and most importantly, the prevention of these terrorist organizations from obtaining weapons of mass destruction -- will require the cooperation of many nations","• doc1.txt

• doc5.txt"
obtaining,2,"•  But I will also renew the tough, direct diplomacy that can prevent Iran from obtaining nuclear weapons and curb Russian aggression

• The final lesson is that in an interconnected world, the defeat of international terrorism ? and most importantly, the prevention of these terrorist organizations from obtaining weapons of mass destruction -- will require the cooperation of many nations","• doc2.txt

• doc5.txt"
possibility,2,"• And if you will join me in this improbable quest, if you feel destiny calling, and see as I see, a future of endless possibility stretching before us; if you sense, as I sense, that the time is now to shake off our slumber, and slough off our fear, and make good on the debt we owe past and future generations, then I'm ready to take up the cause, and march with you, and work with you

•  I refuse to accept the possibility that I will have to come back a year from now and say the same thing","• doc1.txt

• doc5.txt"
flag-draped,2,"•  There have been too many flag-draped coffins, and there have been too many heartbroken families

• That if you say the words ""plan for victory"" and point to the number of schools painted and roads paved and cell phones used in Iraq, no one will notice the nearly 2,500 flag-draped coffins that have arrived at Dover Air Force base","• doc3.txt

• doc5.txt"
organizer,2,"•  But a group of churches had offered me a job as a community organizer for $13,000 a year

•  I had just finished three years of work as a community organizer in low-income neighborhoods of Chicago, and was about to enroll in law school","• doc1.txt

• doc4.txt"
hopefulness,2,"• But for all the progress that has been made, we must surely acknowledge that neither Kenya nor the African continent have yet fulfilled their potential - that the hopefulness of the post-colonial era has been replaced by cynicism and sometimes despair, and that true freedom has not yet been won for those struggling to live on less than a few shillings a day, for those who have fallen prey to HIV/AIDS or malaria, to those ordinary citizens who continue to find themselves trapped in the crossfire of war or ethnic conflict

•  To begin with, I discovered the warmth and sense of community that the people of Kenya possess - their sense of hopefulness even in the face of great difficulty",• doc4.txt
respected,2,"• I learned that my grandfather had been a cook for the British and, although he was a respected elder in his village, he was called ""boy"" by his employers for most of his life

•  I began to understand and appreciate the distance he had traveled - from being a boy herding goats to a student at the University of Hawaii and Harvard University to the respected economist that he was upon his return to Kenya",• doc4.txt
employers,2,"• I learned that my grandfather had been a cook for the British and, although he was a respected elder in his village, he was called ""boy"" by his employers for most of his life

•  No more can we count on employers to provide health care and pensions and job training when their bottom-lines know no borders","• doc3.txt

• doc4.txt"
disappointments,2,"• And yet, I discovered that for all his education, my father's life ended up being filled with disappointments

• As our parents' children, we have the opportunity to learn from these mistakes and disappointments",• doc4.txt
traditions,2,"•  And on a more personal level, because he never fully reconciled the traditions of his village with more modern conceptions of family - because he related to women as his father had, expecting them to obey him no matter what he did - his family life was unstable, and his children never knew him well

•  The history of Africa is a history of ancient kingdoms and great traditions; the story of people fighting to be free from colonial rule; the heroism of not only of great men like Nkrumah and Kenyatta and Mandela, but also ordinary people who endured great hardship, from Ghana to South Africa, to secure self-determination in the face of great odds",• doc4.txt
fulfilled,2,"• And I've wondered - if she is lucky enough to live as long as 105-year-old Marguerite Lewis, if she someday has the chance to look back across the twenty-first century, what will she see? Will she see a country that is freer and kinder, more tolerant and more just than the one she grew up in? Will she see greater opportunities for every citizen of this country? Will all her childhood hopes be fulfilled?

• But for all the progress that has been made, we must surely acknowledge that neither Kenya nor the African continent have yet fulfilled their potential - that the hopefulness of the post-colonial era has been replaced by cynicism and sometimes despair, and that true freedom has not yet been won for those struggling to live on less than a few shillings a day, for those who have fallen prey to HIV/AIDS or malaria, to those ordinary citizens who continue to find themselves trapped in the crossfire of war or ethnic conflict","• doc3.txt

• doc4.txt"
struggling,2,"• But for all the progress that has been made, we must surely acknowledge that neither Kenya nor the African continent have yet fulfilled their potential - that the hopefulness of the post-colonial era has been replaced by cynicism and sometimes despair, and that true freedom has not yet been won for those struggling to live on less than a few shillings a day, for those who have fallen prey to HIV/AIDS or malaria, to those ordinary citizens who continue to find themselves trapped in the crossfire of war or ethnic conflict

• All of us know what those challenges are today - a war with no end, a dependence on oil that threatens our future, schools where too many children aren't learning, and families struggling paycheck to paycheck despite working as hard as they can","• doc1.txt

• doc4.txt"
themselves,2,"• But for all the progress that has been made, we must surely acknowledge that neither Kenya nor the African continent have yet fulfilled their potential - that the hopefulness of the post-colonial era has been replaced by cynicism and sometimes despair, and that true freedom has not yet been won for those struggling to live on less than a few shillings a day, for those who have fallen prey to HIV/AIDS or malaria, to those ordinary citizens who continue to find themselves trapped in the crossfire of war or ethnic conflict

•  If you don't, you'll be able to get the same kind of coverage that members of Congress give themselves","• doc2.txt

• doc4.txt"
industrialized,2,"• Kenya was also forced to rapidly move from a highly agrarian to a more urban, industrialized nation

•  When African nations were just gaining independence, industrialized nations had decades of experience building their domestic economies and navigating the international financial system",• doc4.txt
development,2,"•  This means that the education and health care systems - issues that my own nation more than 200 years old still struggles with - lag behind, impacting its development

• It is painfully obvious that corruption stifles development - it siphons off scarce resources that could improve infrastructure, bolster education systems, and strengthen public health",• doc4.txt
economies,2,"•  When African nations were just gaining independence, industrialized nations had decades of experience building their domestic economies and navigating the international financial system

• "" As a result, many African nations have been asked to liberalize their markets without reciprocal concessions from mature economies",• doc4.txt
representative,2,"•  Among African nations, Kenya remains a model for representative democracy - a place where many different ethnic factions have found a way to live and work together in peace and stability

•  Congress has seen a representative resign after taking bribes, and several others fall under investigation for using their public office for private gain",• doc4.txt
investigation,2,"•  This coalition succeeded by promising change, and their early gestures - the dismissal of the shaky judges, the renewed vigor of the investigation into the Goldenberg scandal, the calls for real disclosure of elected officials' personal wealth - were all promising

•  Congress has seen a representative resign after taking bribes, and several others fall under investigation for using their public office for private gain",• doc4.txt
desperately,2,"• In today's Kenya - a Kenya already more open and less repressive than in my father's day - it is that courage that will bring the reform so many of you so desperately want and deserve

•  And I know that the vast majority of people in this country desperately want to change this",• doc4.txt
collective,2,"• Some of the worst actors on the international stage can also take advantage of the collective exhaustion and outrage that people feel with official corruption, as we've seen with Islamic extremists who promise purification, but deliver totalitarianism

•  That we have individual responsibility, but we also have collective responsibility to each other","• doc3.txt

• doc4.txt"
recognition,2,"• Among other things, this recognition resulted in the coalition that came to power in the December elections of 2002

•  The Kenyan media has been courageous in uncovering and reporting on some of the most blatant abuses of the system, and there has been a growing recognition among people and politicians that this is a critical issue",• doc4.txt
politicians,2,"•  I saw that the problems people faced weren't simply local in nature - that the decision to close a steel mill was made by distant executives; that the lack of textbooks and computers in schools could be traced to the skewed priorities of politicians a thousand miles away; and that when a child turns to violence, there's a hole in his heart no government could ever fill

•  The Kenyan media has been courageous in uncovering and reporting on some of the most blatant abuses of the system, and there has been a growing recognition among people and politicians that this is a critical issue","• doc1.txt

• doc4.txt"
coalition,2,"•  This coalition succeeded by promising change, and their early gestures - the dismissal of the shaky judges, the renewed vigor of the investigation into the Goldenberg scandal, the calls for real disclosure of elected officials' personal wealth - were all promising

• Among other things, this recognition resulted in the coalition that came to power in the December elections of 2002",• doc4.txt
promising,2,"•  This coalition succeeded by promising change, and their early gestures - the dismissal of the shaky judges, the renewed vigor of the investigation into the Goldenberg scandal, the calls for real disclosure of elected officials' personal wealth - were all promising",• doc4.txt
positions,2,"• But what I will not do is suggest that the Senator takes his positions for political purposes

•  So if the government found ways to downsize the bureaucracy - to cut out the positions that aren't necessary or useful - it could use the extra money to increase the salary of other government officials","• doc2.txt

• doc4.txt"
suffering,2,"•  Clarifying these rules and focusing resources on building a judicial system that can enforce them and resolve disputes should be a primary goal of any government suffering from corruption

•  And when one of his chief advisors - the man who wrote his economic plan - was talking about the anxiety Americans are feeling, he said that we were just suffering from a ""mental recession,"" and that we've become, and I quote, ""a nation of whiners","• doc2.txt

• doc4.txt"
available,2,"•  Wealth declarations do little good if no one can access them, and accountability in government spending is not possible if no one knows how much was available and allocated to a given project in the first place

•  When people are judged by merit, not connections, then the best and brightest can lead the country, people will work hard, and the entire economy will grow - everyone will benefit and more resources will be available for all, not just select groups",• doc4.txt
connections,2,"•  When people are judged by merit, not connections, then the best and brightest can lead the country, people will work hard, and the entire economy will grow - everyone will benefit and more resources will be available for all, not just select groups

•  I was a young man then, just a year out of college; I knew no one in Chicago, was without money or family connections","• doc1.txt

• doc4.txt"
regardless,2,"•  As well as numerous Kenyan men and women who have refused to pay bribes to get civil servants to perform their duties; the auditors and inspectors general who have done the job before them accurately and fairly, regardless of where the facts have led; the journalists who asked questions and pushed for answers when it may have been more lucrative to look the other way, or whip up a convenient fiction

• You will decide if the standards and the rules will be the same for everyone - regardless of ethnicity or of wealth",• doc4.txt
character,2,"• By rejecting the insulting idea that corruption is somehow a part of Kenyan culture, these heroes reveal the very opposite - they reveal a strength and integrity of character that can build a great country, a great future

•  Because one of the things that we have to change in our politics is the idea that people cannot disagree without challenging each other's character and patriotism","• doc2.txt

• doc4.txt"
sacrificed,2,"• Finally, there is one other thing that is not too late to get right about this war - and that is the homecoming of the men and women - our veterans - who have sacrificed the most

• This is the Kenya that so many who came before you envisioned - all those men and women who struggled and sacrificed and fought for the freedom you enjoy today","• doc1.txt

• doc4.txt"
disappointed,2,"•  But too many times, after the election is over, and the confetti is swept away, all those promises fade from memory, and the lobbyists and the special interests move in, and people turn away, disappointed as before, left to struggle on their own

• I know from these stories that my father was not a perfect man - that he made his share of mistakes and disappointed his share of people in his lifetime","• doc1.txt

• doc4.txt"
communities,2,"•  I joined with pastors and lay-people to deal with communities that had been ravaged by plant closings

•  Each of us, in our own lives, will have to accept responsibility - for instilling an ethic of achievement in our children, for adapting to a more competitive economy, for strengthening our communities, and sharing some measure of sacrifice",• doc1.txt
computers,2,"•  I saw that the problems people faced weren't simply local in nature - that the decision to close a steel mill was made by distant executives; that the lack of textbooks and computers in schools could be traced to the skewed priorities of politicians a thousand miles away; and that when a child turns to violence, there's a hole in his heart no government could ever fill

• I've had enough of our kids going to schools where the rats outnumber the computers","• doc1.txt

• doc3.txt"
priorities,2,"•  I saw that the problems people faced weren't simply local in nature - that the decision to close a steel mill was made by distant executives; that the lack of textbooks and computers in schools could be traced to the skewed priorities of politicians a thousand miles away; and that when a child turns to violence, there's a hole in his heart no government could ever fill

•  That's why we'll have to set priorities",• doc1.txt
depression,2,"•  In the face of Depression, we put people back to work and lifted millions out of poverty

• I've thought about how she lived to see a world war and a Great Depression and a second world war, and how she saw her brothers and uncles and nephews and cousins coming home from those wars and still have to sit at the back of a bus","• doc1.txt

• doc3.txt"
railroads,2,"• Four years after 9/11, I've had enough of being told that we can find the money to give Paris Hilton more tax cuts, but we can't find enough to protect our ports or our railroads or our chemical plants or our borders

•  We welcomed immigrants to our shores, we opened railroads to the west, we landed a man on the moon, and we heard a King's call to let justice roll down like water, and righteousness like a mighty stream","• doc1.txt

• doc3.txt"
understood,2,"• And I understood the question because it revealed the cynicism people feel about public life today

• That's what Abraham Lincoln understood","• doc1.txt

• doc3.txt"
smallness,2,"• It's the timidity - the smallness - of our politics that's holding us back right now

•  What's stopped us is the failure of leadership, the smallness of our politics - the ease with which we're distracted by the petty and trivial, our chronic avoidance of tough decisions, our preference for scoring cheap political points instead of rolling up our sleeves and building a working consensus to tackle big problems","• doc1.txt

• doc3.txt"
sacrifice,2,"•  Each of us, in our own lives, will have to accept responsibility - for instilling an ethic of achievement in our children, for adapting to a more competitive economy, for strengthening our communities, and sharing some measure of sacrifice

• It is that promise that has always set this country apart - that through hard work and sacrifice, each of us can pursue our individual dreams but still come together as one American family, to ensure that the next generation can pursue their dreams as well","• doc1.txt

• doc2.txt"
transform,2,"• Not just to hold an office, but to gather with you to transform a nation

•  Let us transform this nation",• doc1.txt
homegrown,2,"•  The party that will harness homegrown, alternative fuels and spur the production of fuel-efficient, hybrid cars to break our dependence on the world's most dangerous regimes

•  We can harness homegrown, alternative fuels like ethanol and spur the production of more fuel-efficient cars","• doc1.txt

• doc3.txt"
alternative,2,"•  The party that will harness homegrown, alternative fuels and spur the production of fuel-efficient, hybrid cars to break our dependence on the world's most dangerous regimes

•  We can harness homegrown, alternative fuels like ethanol and spur the production of more fuel-efficient cars","• doc1.txt

• doc3.txt"
production,2,"•  The party that will harness homegrown, alternative fuels and spur the production of fuel-efficient, hybrid cars to break our dependence on the world's most dangerous regimes

•  We can harness homegrown, alternative fuels like ethanol and spur the production of more fuel-efficient cars","• doc1.txt

• doc3.txt"
everything,2,"•  She poured everything she had into me

• Most of all, let's be the generation that never forgets what happened on that September day and confront the terrorists with everything we've got","• doc1.txt

• doc2.txt"
rebuilding,2,"•  Let us honor their valor by providing the care they need and rebuilding the military they love

•  But let us also understand that ultimate victory against our enemies will come only by rebuilding our alliances and exporting those ideals that bring hope and opportunity to millions around the globe",• doc1.txt
candidates,2,"• Let me express my thanks to the historic slate of candidates who accompanied me on this journey, and especially the one who traveled the farthest - a champion for working Americans and an inspiration to my daughters and to yours -- Hillary Rodham Clinton

•  After all, every four years, candidates from both parties make similar promises, and I expect this year will be no different","• doc1.txt

• doc2.txt"
everywhere,2,"•  And everywhere I went I'd get two questions:

• Americans everywhere are desperate for leadership",• doc3.txt
marguerite,2,"• And I've wondered - if she is lucky enough to live as long as 105-year-old Marguerite Lewis, if she someday has the chance to look back across the twenty-first century, what will she see? Will she see a country that is freer and kinder, more tolerant and more just than the one she grew up in? Will she see greater opportunities for every citizen of this country? Will all her childhood hopes be fulfilled?

• And all of this would have been unremarkable except for the fact that this woman, Marguerite Lewis, was born in 1899 and was 105 years old",• doc3.txt
philosophy,2,"•  The problem isn't that their philosophy isn't working the way it's supposed to - it's that it is

• For over two decades, he's subscribed to that old, discredited Republican philosophy - give more and more to those with the most and hope that prosperity trickles down to everyone else","• doc2.txt

• doc3.txt"
bootstraps,2,"•  It allows us to say to the child who didn't have the foresight to choose the right parents or be born in the right suburb - pick yourself up by your bootstraps

•  Born into poverty? Pull yourself up by your own bootstraps - even if you don't have boots","• doc2.txt

• doc3.txt"
neighbors,2,"• We know that we've been called in churches and mosques, synagogues and Sunday schools to love our neighbors as ourselves; to be our brother's keeper; to be our sister's keeper

•  I've seen it in the workers who would rather cut their hours back a day than see their friends lose their jobs, in the soldiers who re-enlist after losing a limb, in the good neighbors who take a stranger in when a hurricane strikes and the floodwaters rise","• doc2.txt

• doc3.txt"
brother's,2,"• We know that we've been called in churches and mosques, synagogues and Sunday schools to love our neighbors as ourselves; to be our brother's keeper; to be our sister's keeper

• That's the promise of America - the idea that we are responsible for ourselves, but that we also rise or fall as one nation; the fundamental belief that I am my brother's keeper; I am my sister's keeper","• doc2.txt

• doc3.txt"
world-class,2,"•  That in a global economy that's more connected and more competitive - we are the party that will guarantee every American an affordable, world-class, top-notch, life-long education - from early childhood to high school, from college to on-the-job training

• Now is the time to finally meet our moral obligation to provide every child a world-class education, because it will take nothing less to compete in the global economy","• doc2.txt

• doc3.txt"
accessible,2,"• Now is the time to finally keep the promise of affordable, accessible health care for every single American

• Let it be said that we are the party of affordable, accessible health care for all Americans","• doc2.txt

• doc3.txt"
bankrupts,2,•  The party that won't make Americans choose between a health care plan that bankrupts the government and one that bankrupts families,• doc3.txt
democratic,2,"•  In the Republicans who never thought they'd pick up a Democratic ballot, but did

• If we do all this, if we can be trusted to lead, this will not be a Democratic Agenda, it will be an American agenda","• doc2.txt

• doc3.txt"
hairdressing,2,"•  When asked what was wrong, she said, ""I don't want to take hairdressing

• At one point, Kozol tells about his trip to Fremont High School in Los Angeles, where he met a girl who tells him that she'd taken hairdressing twice, because there were actually two different levels offered by the high school",• doc3.txt
twenty-first,2,"• And I've wondered - if she is lucky enough to live as long as 105-year-old Marguerite Lewis, if she someday has the chance to look back across the twenty-first century, what will she see? Will she see a country that is freer and kinder, more tolerant and more just than the one she grew up in? Will she see greater opportunities for every citizen of this country? Will all her childhood hopes be fulfilled?

•  But I will also go through the federal budget, line by line, eliminating programs that no longer work and making the ones we do need work better and cost less - because we cannot meet twenty-first century challenges with a twentieth century bureaucracy","• doc2.txt

• doc3.txt"
gratitude,2,"•  The Republican nominee, John McCain, has worn the uniform of our country with bravery and distinction, and for that we owe him our gratitude and respect

• With profound gratitude and great humility, I accept your nomination for the presidency of the United States",• doc2.txt
independents,2,"• Tonight, I say to the American people, to Democrats and Republicans and Independents across this great land - enough! This moment - this election - is our chance to keep, in the 21st century, the American promise alive

•  The men and women who serve in our battlefields may be Democrats and Republicans and Independents, but they have fought together and bled together and some died together under the same proud flag",• doc2.txt
fundamentals,2,"• The fundamentals we use to measure economic strength are whether we are living up to that fundamental promise that has made this country great - a promise that is the only reason I am standing here tonight

•  He said that the fundamentals of the economy are strong",• doc2.txt
corporations,2,"•  Why else would he define middle-class as someone making under five million dollars a year? How else could he propose hundreds of billions in tax breaks for big corporations and oil companies but not one penny of tax relief to more than one hundred million Americans? How else could he offer a health care plan that would actually tax people's benefits, or an education plan that would do nothing to help families pay for college, or a plan that would privatize Social Security and gamble your retirement?

• Unlike John McCain, I will stop giving tax breaks to corporations that ship jobs overseas, and I will start giving them to companies that create good jobs right here in America",• doc2.txt
addiction,2,"• Washington's been talking about our oil addiction for the last thirty years, and John McCain has been there for twenty-six of them

• Now is the time to end this addiction, and to understand that drilling is a stop-gap measure, not a long-term solution",• doc2.txt
commander-in-chief,2,"• As Commander-in-Chief, I will never hesitate to defend this nation, but I will only send our troops into harm's way with a clear mission and a sacred commitment to give them the equipment they need in battle and the care and benefits they deserve when they come home

•  If John McCain wants to have a debate about who has the temperament, and judgment, to serve as the next Commander-in-Chief, that's a debate I'm ready to have",• doc2.txt
patriotism,2,"•  Because one of the things that we have to change in our politics is the idea that people cannot disagree without challenging each other's character and patriotism

•  So let us agree that patriotism has no party",• doc2.txt
azerbaijan,1,"•  As some of you know, Senator Lugar and I recently traveled to Russia, Ukraine, and Azerbaijan to witness firsthand both the progress we're making in securing the world's most dangerous weapons, as well as the serious challenges that lie ahead",• doc6.txt
firsthand,1,"•  As some of you know, Senator Lugar and I recently traveled to Russia, Ukraine, and Azerbaijan to witness firsthand both the progress we're making in securing the world's most dangerous weapons, as well as the serious challenges that lie ahead",• doc6.txt
co-founder,1,"• Now, few people understand these challenges better than the co-founder of the Cooperative Threat Reduction Program, Dick Lugar, and this is something that became particularly clear to me during one incident on the trip",• doc6.txt
particularly,1,"• Now, few people understand these challenges better than the co-founder of the Cooperative Threat Reduction Program, Dick Lugar, and this is something that became particularly clear to me during one incident on the trip",• doc6.txt
laboratory,1,"• We were in Ukraine, visiting a pathogen laboratory in Kiev",• doc6.txt
non-descript,1,"•  This is a city of two and a half million, and in a non-descript building right in the middle of town stood this facility that once operated on the fringes of the Soviet biological weapons program",• doc6.txt
discernible,1,"• We entered through no fences or discernible security, and once we did, we found ourselves in a building with open first-floor windows and padlocks that many of us would not use to secure our own luggage",• doc6.txt
first-floor,1,"• We entered through no fences or discernible security, and once we did, we found ourselves in a building with open first-floor windows and padlocks that many of us would not use to secure our own luggage",• doc6.txt
mini-refrigerator,1,• Our guide then brought us right up to what looked like a mini-refrigerator,• doc6.txt
translator,1,"•  She picked them up, clanked them around, and we listened to the translator explain what she was saying",• doc6.txt
co-founded,1,"• Of course, Dick has been there and he has done that, and thanks to the Cooperative Threat Reduction Programs he co-founded with Senator Sam Nunn, we've made amazing progress in finding, securing, and guarding some of the deadliest weapons that were left scattered throughout the former Soviet Union after the Cold War",• doc6.txt
scattered,1,"• Of course, Dick has been there and he has done that, and thanks to the Cooperative Threat Reduction Programs he co-founded with Senator Sam Nunn, we've made amazing progress in finding, securing, and guarding some of the deadliest weapons that were left scattered throughout the former Soviet Union after the Cold War",• doc6.txt
aggressively,1,"•  And as we speak, members of Al Qaeda and other terrorists organizations are aggressively pursuing weapons of mass destruction, which they would use without hesitation",• doc6.txt
hesitation,1,"•  And as we speak, members of Al Qaeda and other terrorists organizations are aggressively pursuing weapons of mass destruction, which they would use without hesitation",• doc6.txt
scientists,1,• We've heard the horror stories - attempts by rogue states to recruit former Soviet weapons scientists; terrorists shopping for weapons grade materials on the black market,• doc6.txt
unfolding,1,"• Today, experts tell us that we're in a race against time to prevent this scenario from unfolding",• doc6.txt
represent,1,"•  And that is why the nuclear, chemical, and biological weapons within the borders of the former Soviet Union represent the greatest threat to the security of the United States - a threat we need to think seriously and intelligently about in the months to come",• doc6.txt
seriously,1,"•  And that is why the nuclear, chemical, and biological weapons within the borders of the former Soviet Union represent the greatest threat to the security of the United States - a threat we need to think seriously and intelligently about in the months to come",• doc6.txt
intelligently,1,"•  And that is why the nuclear, chemical, and biological weapons within the borders of the former Soviet Union represent the greatest threat to the security of the United States - a threat we need to think seriously and intelligently about in the months to come",• doc6.txt
drastically,1,"•  And so the question we need to be asking ourselves today is, what is the future of this program? With the situation in Russia and the rest of the former Soviet Union so drastically different than it was in 1991, or even in 1996 or 2001, what must we do to effectively confront this threat in the days and years to come?",• doc6.txt
executive,1,"• The answers to these questions will require sustained involvement by the Executive Branch, Congress, non-governmental organizations, and the international community",• doc6.txt
non-governmental,1,"• The answers to these questions will require sustained involvement by the Executive Branch, Congress, non-governmental organizations, and the international community",• doc6.txt
discussion,1,"• For my part, I would suggest three important elements that should be included in such a discussion",• doc6.txt
soviet-supplied,1,"• First, the Nunn-Lugar program should be more engaged in containing proliferation threats from Soviet-supplied, civilian research reactors throughout Russia and the Independent States",• doc6.txt
department,1,"• The Department of Energy and others have certainly made progress in converting civilian reactors to low-enriched uranium, taking back spent fuel, and closing unnecessary facilities",• doc6.txt
converting,1,"• The Department of Energy and others have certainly made progress in converting civilian reactors to low-enriched uranium, taking back spent fuel, and closing unnecessary facilities",• doc6.txt
low-enriched,1,"• The Department of Energy and others have certainly made progress in converting civilian reactors to low-enriched uranium, taking back spent fuel, and closing unnecessary facilities",• doc6.txt
unnecessary,1,"• The Department of Energy and others have certainly made progress in converting civilian reactors to low-enriched uranium, taking back spent fuel, and closing unnecessary facilities",• doc6.txt
quantities,1,"•  Many of these aging research facilities have the largest, least secure quantities of highly enriched uranium in the world - the quickest way to a nuclear weapon",• doc6.txt
scientist,1,"•  For a scientist or other employee to simply walk out of the lab with enough material to construct a weapon of mass destruction is far too easy, and the consequences would be far too devastating",• doc6.txt
devastating,1,"•  For a scientist or other employee to simply walk out of the lab with enough material to construct a weapon of mass destruction is far too easy, and the consequences would be far too devastating",• doc6.txt
environmental,1,•  Not to mention the environmental and public health and safety catastrophe that could come from a failure to store and transport these materials safely and securely,• doc6.txt
catastrophe,1,•  Not to mention the environmental and public health and safety catastrophe that could come from a failure to store and transport these materials safely and securely,• doc6.txt
